"Name","Address","ZIP","Type","latitude","longitude"
"African American History Research Center at the Gregory School","1300 Victor St. Houston, TX 77019",77019,"Library",29.754126998481,-95.380438992465
"Alief-David M. Henington Regional Library","11903 Bellaire Blvd, Houston, TX 77072",77072,"Library",29.702751003067,-95.588834982174
"Barbara Bush Literacy Plaza at the Houston Public Library","500 McKinney St. Houston, TX 77002",77002,"Library",29.759434000477,-95.369969995399
"BOOKLINK at One Allen Center","500 Dallas St. Houston, TX 77002",77002,"Library",29.757603979557,-95.37047198758
"Bracewell Neighborhood Library","9002 Kingspoint Rd. Houston, TX 77075",77075,"Library",29.601537007653,-95.245466965831
"Carnegie Neighborhood Library & Center for Learning","1050 Quitman St. Houston, TX 77009",77009,"Library",29.78208600999,-95.358532972335
"Central Library Jesse H. Jones Building","500 McKinney St. Houston, TX 77002",77002,"Library",29.759434000477,-95.369969995399
"Collier Regional Library","6200 Pinemont Dr. Houston, TX 77092",77092,"Library",29.840664993897,-95.482717992497
"Family History Research Center at the Clayton Library Campus","5300 Caroline St. Houston, TX 77004",77004,"Library",29.726167986973,-95.386083030787
"Flores Neighborhood Library","110 North Milby St. Houston, TX 77003",77003,"Library",29.750209003571,-95.334841020096
"Freed-Montrose Neighborhood Library","4100 Montrose Blvd. Houston, TX 77006",77006,"Library",29.735787981067,-95.391794962525
"Heights Neighborhood Library","1302 Heights Blvd. Houston, TX 77008",77008,"Library",29.794721980484,-95.397256023901
"Hillendahl Neighborhood Library","2436 Gessner Rd. Houston, TX 77080",77080,"Library",29.815618987109,-95.544787997168
"Houston History Research Center at the Julia Ideson Building","550 McKinney St. Houston, TX 77002",77002,"Library",29.758921991921,-95.369172038217
"HPL Southwest Express","6400 High Star Dr. Houston, TX 77074",77074,"Library",29.711002986744,-95.496206989277
"Johnson Neighborhood Library","3517 Reed Rd. Houston, TX 77051",77051,"Library",29.658775012781,-95.370941960891
"Jungman Neighborhood Library","5830 Westheimer Rd. Houston, TX 77057",77057,"Library",29.738469980535,-95.481322992352
"Kendall Neighborhood Library","609 N Eldridge Pkwy. Houston, TX 77079",77079,"Library",29.773051994747,-95.620573980557
"Looscan Neighborhood Library","2510 Willowick Rd. Houston, TX 77027",77027,"Library",29.742819014817,-95.442028965541
"Mancuso Neighborhood Library","6767 Bellfort Ave. Houston, TX 77087",77087,"Library",29.668141999127,-95.310279026306
"McCrane-Kashmere Gardens Neighborhood Library","5411 Pardee St. Houston, TX 77026",77026,"Library",29.806243996046,-95.316638962979
"McGovern-Stella Link Regional Library","7405 Stella Link Rd. Houston, TX 77025",77025,"Library",29.698121007391,-95.439706004895
"Melcher Neighborhood Library","7200 Keller St. Houston, TX 77012",77012,"Library",29.706195001354,-95.289498025221
"Moody Neighborhood Library","9525 Irvington Blvd. Houston, TX 77022",77022,"Library",29.847568999905,-95.362830038817
"Oak Forest Neighborhood Library","1349 West 43rd St. Houston, TX 77018",77018,"Library",29.827574011789,-95.433968005438
"Parent Resource Library Children's Museum of Houston","1500 Binz St. Houston, TX 77004",77004,"Library",29.722609994804,-95.385253976744
"Park Place Regional Library","8145 Park Place Blvd. Houston, TX 77017",77017,"Library",29.68779098228,-95.275172011589
"Pleasantville Neighborhood Library","1520 Gellhorn Dr. Houston, TX 77029",77029,"Library",29.763850006165,-95.273209975694
"Ring Neighborhood Library","8835 Long Point Rd. Houston, TX 77055",77055,"Library",29.802657002491,-95.508035028124
"Robinson-Westchase Neighborhood Library","3223 Wilcrest Dr. Houston, TX 77042",77042,"Library",29.728949982547,-95.571075992459
"Scenic Woods Regional Library","10677 Homestead Rd. Houston, TX 77016",77016,"Library",29.869843991413,-95.301102015796
"Shepard-Acres Homes Neighborhood Library","8501 West Montgomery Rd. Houston, TX 77088",77088,"Library",29.871009997963,-95.43733099263
"Smith Neighborhood Library","3624 Scott St. Houston, TX 77004",77004,"Library",29.722724994515,-95.351719993796
"Stanaker Neighborhood Library","611 S Sgt Macario Garcia St. Houston, TX 77011",77011,"Library",29.740066020628,-95.303065979529
"Stimley-Blue Ridge Neighborhood Library","7007 West Fuqua St. Houston, TX 77489",77489,"Library",29.598820247417,-95.490432636397
"TECHLink Alief","11903 Bellaire Blvd, Houston, TX 77072",77072,"Library",29.702751003067,-95.588834982174
"TECHLink Dixon","8002 Hirsch Rd. Houston, TX 77016",77016,"Library",29.833329990429,-95.328744023726
"TECHLink Scenic Woods","10677 Homestead Rd. Houston, TX 77016",77016,"Library",29.869843991413,-95.301102015796
"Tuttle Neighborhood Library","702 Kress St. Houston, TX 77020",77020,"Library",29.776447839313,-95.307472745959
"Vinson Neighborhood Library","3810 West Fuqua St. Houston, TX 77045",77045,"Library",29.614149005904,-95.433609008525
"Walter Neighborhood Library","7660 Clarewood Dr. Houston, TX 77036",77036,"Library",29.709800979919,-95.520879037455
"Walker Neighborhood Library","5505 Belrose, Houston, Texas 77035",77035,"Library",29.653428993026,-95.482184987274
"Young Neighborhood Library","5107 Griggs Rd. Houston, TX 77021",77021,"Library",29.698507999861,-95.337006987695
"Aldine Branch Library","11331 Airline Dr Houston, TX 77037",77037,"Library",29.920763005466,-95.40773600126
"Atascocita Branch Library","19520 Pinehurst Trail Drive Humble, TX 77346",77346,"Library",30.004583001139,-95.154130959489
"Baldwin Boettcher Branch Library @ Mercer Park","22306 Aldine Westfield Road Humble, TX 77338",77338,"Library",30.038686995413,-95.380634039352
"Barbara Bush Branch Library","6817 Cypresswood Drive Spring, TX 77379",77379,"Library",30.012435000396,-95.510198984067
"Clear Lake City-County Freeman Branch Library","16616 Diana Lane Houston, TX 77062",77062,"Library",29.557943986523,-95.119350000806
"Crosby Edith Fae Cook Cole Branch Library","135 Hare Road Crosby, TX 77532",77532,"Library",29.920346266529,-95.067617295963
"Evelyn Meador Branch Library","2400 North Meyer Avenue Seabrook, TX 77586",77586,"Library",29.570360979797,-95.016568002764
"Fairbanks Branch Library","7122 Gessner Road Houston, TX 77040",77040,"Library",29.872363004774,-95.54286602677
"Galena Park Branch Library","1500 Keene Street Galena Park, TX 77547",77547,"Library",29.743478000045,-95.237019013258
"Harris County Robert W. Hainsworth Law Library","1019 Congress Avenue Houston, TX 77002",77002,"Library",29.762155981624,-95.359943981916
"HCPL TMC Library","1133 John Freeman Boulevard Houston, TX 77030",77030,"Library",29.712053993583,-95.396674990373
"High Meadows Branch Library","4500 Aldine Mail Route Houston, TX 77039",77039,"Library",29.902262007772,-95.327210973635
"Jacinto City Branch Library","921 Akron Street Houston, TX 77029",77029,"Library",29.772486006735,-95.239937005211
"Katherine Tyra Branch Library @ Bear Creek","16719 Clay Road Houston, TX 77084",77084,"Library",29.834747116475,-95.655353328018
"Katy Branch Library","5414 Franz Road Katy, TX 77493",77493,"Library",29.802125003097,-95.817885992964
"Kingwood Branch Library","4400 Bens View Lane Kingwood, TX 77339",77339,"Library",30.041948016752,-95.181600970766
"La Porte Branch Library","600 South Broadway Street La Porte, TX 77571",77571,"Library",29.658589982269,-95.019726974433
"Lone Star College-CyFair Library","9191 Barker Cypress Road Cypress, TX 77433",77433,"Library",29.912864989561,-95.697000006073
"Lone Star College-Tomball Community Library","30555 Tomball Parkway Tomball, TX 77375",77375,"Library",30.113289057396,-95.642959825437
"Maud Smith Marks Branch Library","1815 Westgreen Boulevard Katy, TX 77450",77450,"Library",29.757685996479,-95.733261963228
"North Channel Branch Library","15741 Wallisville Road Houston, TX 77049",77049,"Library",29.811021010303,-95.156992960329
"Northwest Branch Library","11355 Regency Green Drive Cypress, TX 77429",77429,"Library",29.96176899409,-95.592178020436
"Octavia Fields Branch Library","1503 South Houston Avenue Humble, TX 77338",77338,"Library",29.980460009529,-95.260033959178
"Parker Williams Branch Library","10851 Scarsdale Boulevard Houston, TX 77089",77089,"Library",29.584707990095,-95.215983034678
"South Houston Branch Library","607 Avenue A South Houston, TX 77587",77587,"Library",29.666932993413,-95.224239963677
"Spring Branch Memorial Branch Library","930 Corbindale Road Houston, TX 77024",77024,"Library",29.780980981784,-95.512438041862
"Stratford Branch Library","509 Stratford Street Highlands, TX 77562",77562,"Library",29.821676642198,-95.063423571077
"West University Branch Library","6108 Auden Street Houston, TX 77005",77005,"Library",29.716317993457,-95.437641039229
"RICHARD MILBURN ACADEMY HOUSTON (SUBURBAN)","713 E AIRTEX DR HOUSTON TX 77073",77073,"High School",29.983819979235,-95.411317001754
"RICHARD MILBURN ACADEMY PASADENA","320 SOUTHMORE AVE PASADENA TX 77506",77506,"High School",29.690101998714,-95.207699032131
"SST THE WOODLANDS","27440 KUYKENDAHL RD THE WOODLANDS TX 77375",77375,"Elementary-Middle School",30.159242672677,-95.547953528237
"SST EXCELLENCE","330 N SAM HOUSTON PKWY E HOUSTON TX 77060",77060,"K-12 School",29.93854797908,-95.400620016922
"SST SPRING","2105 LOUETTA RD SPRING TX 77388",77388,"Elementary-Middle School",30.061475001304,-95.449036990967
"SST CHAMPIONS","15015 T C JESTER BLVD HOUSTON TX 77068",77068,"K-12 School",30.002074004152,-95.486586995184
"SST ADVANCEMENT","12801 BRANT ROCK DR HOUSTON TX 77082",77082,"Elementary-Middle School",29.714497988911,-95.610226018173
