Name,Address,ZIP,Phone,Email,Type,Specification
Candlelight Community Center,"1520 Candlelight, Houston, TX 77018",77018,7136823587,candlelight@houstontx.gov,HPARD Community Center,Northwest
Carverdale Community Center,"9920 Porto Rico, Houston, TX 77041",77041,7138956141,carverdale@houstontx.gov,HPARD Community Center,Northwest
Fonde Community Center,"110 Sabine, Houston, TX 77007",77007,8323957420,fonde@houstontx.gov,HPARD Community Center,Northwest
Freed Community Center,"6818 Shadyvilla Ln, Houston, TX 77055",77055,8323957611,freed@houstontx.gov,HPARD Community Center,Northwest
Highland Community Center,"3316 De Soto, Houston, TX 77091",77091,7139569137,highland@houstontx.gov,HPARD Community Center,Northwest
 Inde. Heights Community Center,"603 East 35th, Houston, TX 77022",77022,7138670373,independenceheights@houstontx.gov,HPARD Community Center,Northwest
Lincoln Community Center,"979 Grenshaw, Houston, TX 77088",77088,2814451617,lincoln@houstontx.gov,HPARD Community Center,Northwest
Love Community Center,"1000 West 12th, Houston, TX 77008",77008,7138670497,love@houstontx.gov,HPARD Community Center,Northwest
Milroy Community Center,"1205 Yale, Houston, TX 77008",77008,7138670397,milroy@houstontx.gov,HPARD Community Center,Northwest
Montie Beach Community Ctr,"915 Northwood, Houston, TX 77009",77009,7138646820,montiebeach@houstontx.gov,HPARD Community Center,Northwest
Proctor Plaza Community Ctr,"803 West Temple, Houston, TX 77009",77009,7138626907,proctorplaza@houstontx.gov,HPARD Community Center,Northwest
Stude Community Center,"1031 Stude, Houston, TX 77007",77007,7138670496,stude@houstontx.gov,HPARD Community Center,Northwest
Woodland Community Center,"212 Parkview, Houston, TX 77009",77009,7138670401,woodland@houstontx.gov,HPARD Community Center,Northwest
Clark Community Center,"9718 Clark, Houston, TX 77076",77076,7137421497,clark@houstontx.gov,HPARD Community Center,Northeast
Hobart Taylor Community Center,"8100 Kenton, Houston, TX 77028",77028,8323957621,hobarttaylor@houstontx.gov,HPARD Community Center,Northeast
Kingwood Community Center,"4102 Rustic Woods Dr., Houston, TX 77345",77345,2813482570,kingwood@houstontx.gov,HPARD Community Center,Northeast
Lakewood Community Center,"8811 Feland, Houston, TX 77028",77028,7136368217,lakewoodpark@houstontx.gov,HPARD Community Center,Northeast
Melrose Community Center,"1001 Canino, Houston, TX 77076",77076,2814470514,melrose@houstontx.gov,HPARD Community Center,Northeast
Moody Community Center,"3725 Fulton, Houston, TX 77009",77009,8323957645,prmoody@houstontx.gov,HPARD Community Center,Northeast
Shady Lane Community Center,"10220 Shady Lane, Houston, TX 77093",77093,7137421503,shadylane@houstontx.gov,HPARD Community Center,Northeast
Tidwell Community Center,"9720 Spaulding, Houston, TX 77016",77016,7136368221,tidwell@houstontx.gov,HPARD Community Center,Northeast
Tuffly Community Center,"3200 Russell, Houston, TX 77026",77026,7136742355,tuffly@houstontx.gov,HPARD Community Center,Northeast
Alief Community Center,"11903 Bellaire Blvd., Houston, TX 77072",77072,2815648130,alief@houstontx.gov,HPARD Community Center,Southwest
Almeda Community Center,"14201 Almeda School Rd., Houston, TX 77047",77047,7134341909,almeda@houstontx.gov,HPARD Community Center,Southwest
Burnett Bayland Community Ctr,"6200 Chimney Rock, Houston, TX 77081",77081,7136684516,burnettbayland@houstontx.gov,HPARD Community Center,Southwest
Cherryhurst Community Ctr,"1700 Missouri, Houston, TX 77006",77006,7132841992,cherryhurst@houstontx.gov,HPARD Community Center,Southwest
Godwin Community Center,"5101 Rutherglen, Houston, TX 77096",77096,7137267114,godwin@houstontx.gov,HPARD Community Center,Southwest
Hackberry Community Center,"7777 S. Dairy Ashford, Houston, TX 77072",77072,8323957616,hackberry@houstontx.gov,HPARD Community Center,Southwest
"J. Robinson, Jr. Community Ctr","2020 Hermann Dr., Houston, TX 77004",77004,8323957626,judsonrobinsonjr@houstontx.gov,HPARD Community Center,Southwest
Kendall Community Center,"609 N. Eldridge, Houston, TX 77079",77079,8323931897,askparks@houstontx.gov,HPARD Community Center,Southwest
Lansdale Community Center,"8201 Roos, Houston, TX 77036",77036,7132723668,lansdale@houstontx.gov,HPARD Community Center,Southwest
