OBJECTID,ZIP,POSTAL,STATE,EDITOR,DATE_MOD,code,ZIP_TYPE,Shape__Area,Shape__Length
1,77565,KEMAH,TX,Ayuna TSydypova,2011/06/03 00:00:00+00,GA,STANDARD,1695882.8984375,18598.9713598018
2,77573,LEAGUE CITY,TX,Ayuna Tsydypova,2011/06/03 00:00:00+00,GA,STANDARD,2580526.609375,57266.6940569767
3,77362,PINEHURST,TX,Ayuna Tsydypova,2011/06/07 00:00:00+00,MO,STANDARD,362304.9375,11912.7429385989
4,77010,HOUSTON,TX,Brian Klinger,2011/06/10 00:00:00+00,HA,STANDARD,3299176.73046875,9654.4544804996
5,77546,FRIENDSWOOD,TX,Ahmed Giwa,2011/07/19 00:00:00+00,GA,STANDARD,248900877.296875,112000.179217852
6,77503,PASADENA,TX,Ayuna Tsydypova,2011/06/21 00:00:00+00,HA,STANDARD,250892117.515625,104224.054810233
7,77535,DAYTON,TX,Brian Klinger,2011/05/26 00:00:00+00,LB,STANDARD,64941470.2890625,133638.096639949
8,77336,HUFFMAN,TX,Brian Klinger,2011/07/07 00:00:00+00,HA,STANDARD,1290385652.63672,170522.206958156
9,77355,MAGNOLIA,TX,Ayuna Tsydypova,2011/06/06 00:00:00+00,MO,STANDARD,5076939.76953125,29556.1231055037
10,77007,HOUSTON,TX,Brian Klinger,2011/06/09 00:00:00+00,HA,STANDARD,218859135.300781,88174.3691031182
11,77506,PASADENA,TX,Ayuna Tsydypova,2011/06/20 00:00:00+00,HA,STANDARD,289388180,80606.0960089645
12,77006,HOUSTON,TX,Brian Klinger,2011/06/08 00:00:00+00,HA,STANDARD,63140814.5546875,43137.2664429865
13,77009,HOUSTON,TX,Brian Klinger,2011/07/11 00:00:00+00,HA,STANDARD,170643195.828125,57989.9472770529
14,77023,HOUSTON,TX,Brian Klinger,2011/06/15 00:00:00+00,HA,STANDARD,157989416.929688,69873.9553711182
15,77028,HOUSTON,TX,Brian Klinger,2011/06/17 00:00:00+00,HA,STANDARD,258029995.160156,78046.0143438627
16,77547,GALENA PARK,TX,Brian Klinger,2011/06/16 00:00:00+00,HA,STANDARD,96453451.8007813,41378.6352419794
17,77020,HOUSTON,TX,Brian Klinger,2011/06/14 00:00:00+00,HA,STANDARD,199665348.707031,73186.9421341459
18,77004,HOUSTON,TX,Wenge Fu,2011/10/12 00:00:00+00,HA,STANDARD,165162841.699219,67522.5820368827
19,77032,HOUSTON,TX,Brian Klinger,2011/07/08 00:00:00+00,HA,STANDARD,585099931.460938,121918.96629721
20,77587,SOUTH HOUSTON,TX,Ahmed Giwa,2011/07/19 00:00:00+00,HA,STANDARD,82898890.75,42538.1686093154
21,77029,HOUSTON,TX,Brian Klinger,2011/06/16 00:00:00+00,HA,STANDARD,358732176.574219,115301.079174754
22,77502,PASADENA,TX,Ayuna Tsydypova,2011/06/21 00:00:00+00,HA,STANDARD,155957960.59375,74590.8696559773
23,77504,PASADENA,TX,Ayuna Tsydypova,2011/06/20 00:00:00+00,HA,STANDARD,145230803.859375,65064.8703560984
24,77047,HOUSTON,TX,Ray A Smith Jr,2011/06/20 00:00:00+00,HA,STANDARD,401121563.148438,109736.738206317
25,77048,HOUSTON,TX,Ray A Smith Jr,2011/06/20 00:00:00+00,HA,STANDARD,299864156.765625,91775.596931498
26,77002,HOUSTON,TX,Wenge Fu,2011/10/06 00:00:00+00,HA,STANDARD,59607525.4804688,73345.9835631083
27,77078,HOUSTON,TX,Brian Klinger,2011/06/17 00:00:00+00,HA,STANDARD,271887444.375,90292.010063499
28,77044,HOUSTON,TX,Brian Klinger,2011/06/17 00:00:00+00,HA,STANDARD,1247119688.96094,193979.41136794
29,77046,HOUSTON,TX,Ahmed Giwa,2011/07/18 00:00:00+00,HA,STANDARD,2516016.28515625,8477.76454691334
30,77530,CHANNELVIEW,TX,Brian Klinger,2011/06/17 00:00:00+00,HA,STANDARD,476759968.667969,119905.154355584
31,77015,HOUSTON,TX,Brian Klinger,2011/06/16 00:00:00+00,HA,STANDARD,616083534.113281,152705.204755636
32,77049,HOUSTON,TX,Brian Klinger,2011/06/17 00:00:00+00,HA,STANDARD,754431977.949219,183126.640550229
33,77013,HOUSTON,TX,Brian Klinger,2011/06/17 00:00:00+00,HA,STANDARD,257183697.601563,94063.8328469184
34,77051,HOUSTON,TX,Ray A Smith Jr,2011/06/20 00:00:00+00,HA,STANDARD,161794259.554688,70361.8857228273
35,77025,HOUSTON,TX,Brian Klinger,2011/06/21 00:00:00+00,HA,STANDARD,125055622.136719,64337.0611673321
36,77030,HOUSTON,TX,Brian Klinger,2011/06/15 00:00:00+00,HA,STANDARD,73180121.3945313,49488.8817233033
37,77054,HOUSTON,TX,Brian Klinger,2011/06/15 00:00:00+00,HA,STANDARD,151404529.070313,67442.0190054828
38,77507,PASADENA,TX,Ayuna Tsydypova,2011/06/20 00:00:00+00,HA,STANDARD,401205501.191406,111086.415896308
39,77586,SEABROOK,TX,Ayuna Tsydypova,2011/06/20 00:00:00+00,HA,STANDARD,365820575.722656,113985.595017715
40,77062,HOUSTON,TX,Ayuna Tsydypova,2011/06/20 00:00:00+00,HA,STANDARD,158686253.3125,59595.1025462359
41,77063,HOUSTON,TX,Brian Klinger,2011/07/12 00:00:00+00,HA,STANDARD,121325278.238281,76129.6035655732
42,77057,HOUSTON,TX,Brian Klinger,2011/07/12 00:00:00+00,HA,STANDARD,119171940.511719,61010.95879239
43,77076,HOUSTON,TX,Ayuna Tsydypova,2011/06/17 00:00:00+00,HA,STANDARD,137758979.324219,65496.7176296537
44,77037,HOUSTON,TX,Ayuna Tsydypova,2011/06/17 00:00:00+00,HA,STANDARD,186192852.511719,92599.5133118114
45,77024,HOUSTON,TX,Brian Klinger,2011/07/11 00:00:00+00,HA,STANDARD,357875189.644531,138457.916500695
46,77056,HOUSTON,TX,Brian Klinger,2011/06/14 00:00:00+00,HA,STANDARD,95037463.40625,52465.0083838911
47,77005,HOUSTON,TX,Brian Klinger,2011/06/08 00:00:00+00,HA,STANDARD,107804443.019531,56410.8393364585
48,77042,HOUSTON,TX,Ray A Smith Jr,2011/06/15 00:00:00+00,HA,STANDARD,175466973.4375,74626.0577981887
49,77099,HOUSTON,TX,Brian Klinger,2011/07/12 00:00:00+00,HA,STANDARD,159398616.097656,60923.9180556837
50,77072,HOUSTON,TX,Ray A Smith Jr,2011/06/14 00:00:00+00,HA,STANDARD,206064165.71875,64305.4448886561
51,77083,HOUSTON,TX,Ray A Smith Jr,2011/06/16 00:00:00+00,HA,STANDARD,165642081.316406,68651.7789009647
52,77045,HOUSTON,TX,Ray A Smith Jr,2011/06/20 00:00:00+00,HA,STANDARD,351789683.882813,94195.7281437852
53,77031,HOUSTON,TX,Brian Klinger,2011/07/12 00:00:00+00,HA,STANDARD,90061105.9414063,46577.1574214669
54,77085,HOUSTON,TX,Ray A Smith jr,2011/06/17 00:00:00+00,HA,STANDARD,135745479.578125,65264.2463822733
55,77489,MISSOURI CITY,TX,Ray A Smith Jr,2011/06/07 00:00:00+00,FB,STANDARD,11425863.2460938,35727.4819697659
56,77064,HOUSTON,TX,Ayuna Tsydypova,2011/06/15 00:00:00+00,HA,STANDARD,399532737.5,108619.239168574
57,77066,HOUSTON,TX,Ayuna Tsydypova,2011/06/15 00:00:00+00,HA,STANDARD,243943693.605469,80764.7201299087
58,77086,HOUSTON,TX,Ayuna Tsydypova,2011/06/13 00:00:00+00,HA,STANDARD,201664835.5625,75513.1165074913
59,77021,HOUSTON,TX,Brian Klinger,2011/06/15 00:00:00+00,HA,STANDARD,163737471.039063,64854.8276428954
60,77033,HOUSTON,TX,Ray A Smith Jr,2011/06/20 00:00:00+00,HA,STANDARD,168393979.894531,64211.6118082047
61,77012,HOUSTON,TX,Brian Klinger,2011/06/13 00:00:00+00,HA,STANDARD,114589659.324219,59775.6552055737
62,77017,HOUSTON,TX,Ray A Smith Jr,2011/06/21 00:00:00+00,HA,STANDARD,273517915.625,97049.4730406892
63,77087,HOUSTON,TX,Ray A Smith Jr,2011/06/21 00:00:00+00,HA,STANDARD,183622516.292969,74428.5038753185
64,77061,HOUSTON,TX,Ray A Smith Jr,2011/06/21 00:00:00+00,HA,STANDARD,215975936.671875,85149.658603265
65,77038,HOUSTON,TX,Ayuna Tsydypova,2011/06/16 00:00:00+00,HA,STANDARD,260810412.394531,87190.4130200984
66,77075,HOUSTON,TX,Brian klinger,2011/07/12 00:00:00+00,HA,STANDARD,327463130.890625,101548.106582369
67,77581,PEARLAND,TX,Ayuna,2011/07/11 00:00:00+00,BZ,STANDARD,43666499.703125,93017.151411358
68,77034,HOUSTON,TX,Brian Klinger,2011/07/12 00:00:00+00,HA,STANDARD,374750274.527344,125213.234755608
69,77089,HOUSTON,TX,Ayuna Tsydypova,2011/06/21 00:00:00+00,HA,STANDARD,354255812.402344,124063.582602192
70,77014,HOUSTON,TX,Ayuna Tsydypova,2011/06/10 00:00:00+00,HA,STANDARD,184144439.511719,78489.7180775155
71,77373,SPRING,TX,Ayuna Tsydypova,2011/06/20 00:00:00+00,HA,STANDARD,666330004.953125,143120.48562703
72,77067,HOUSTON,TX,Ayuna Tsydypova,2011/06/15 00:00:00+00,HA,STANDARD,168494954.496094,67683.5647757313
73,77090,HOUSTON,TX,Ayuna Tsydypova,2011/06/08 00:00:00+00,HA,STANDARD,253219605.585938,101928.496718798
74,77060,HOUSTON,TX,Ayuna Tsydypova,2011/06/17 00:00:00+00,HA,STANDARD,224659140.859375,82663.6711288009
75,77088,HOUSTON,TX,Ayuna Tsydypova,2011/06/13 00:00:00+00,HA,STANDARD,298117356.910156,107084.100402169
76,77091,HOUSTON,TX,Brian Klinger,2011/07/11 00:00:00+00,HA,STANDARD,206027278.203125,107765.294200029
77,77008,HOUSTON,TX,Brian Klinger,2011/06/10 00:00:00+00,HA,STANDARD,180078769.515625,58913.5780406815
78,77092,HOUSTON,TX,Ayuna Tsydypova,2011/06/16 00:00:00+00,HA,STANDARD,223322449.484375,91858.4513017039
79,77039,HOUSTON,TX,Ayuna Tsydypova,2011/06/17 00:00:00+00,HA,STANDARD,276953597.410156,82073.4144164814
80,77050,HOUSTON,TX,Brian Klinger,2011/06/17 00:00:00+00,HA,STANDARD,210765840.875,78147.6521436167
81,77016,HOUSTON,TX,Brian Klinger,2011/06/17 00:00:00+00,HA,STANDARD,283216530.511719,87771.3523800033
