PARK NAME,ADDRESS,STREET,PARK_SECTOR,COUNCIL_DISTRICT,ZIP_CODE_END,TOTAL_ACRES,ZIP_CODE
42nd Street Triangle,1050,Sue Barnett Drive,1,C,18,0.32,77018
Adams (Catherine) Park,4800,Rawley,17,B,20,0.4,77020
Alabonson Park,9650,N. Houston Rosslyn,ETJ,ETJ,88,50.21,77088
Alief Community Park,11903,Bellaire Blvd,18,F,72,37.3,77072
Allendale Spaceway,9300,Howard,6,E,17,1.33,77017
Allen's Landing Memorial Park,1001,Commerce,16,H,2,1.76,77002
Almeda Park,14201,Almeda School Rd,8,K,47,1,77047
Alvarez/Roark/Giraud Greenspace,0,Elm Street,11,I,12,3.27,77012
American Legion Park,3621,Golf Dr.,1,C,18,4.74,77018
Anderson Park,5701,Beverly Hills,9,J,57,7.1,77057
Andover Park,6301,Nunn,7,I,87,4.85,77087
Antioch Park,1400,Smith/Clay,16,I,2,0.65,77002
Antoine Greenspace,1125,Antoine Dr.,10,A,55,0.37,77055
Apache-Elbert Triangle,7000,Elbert,4,B,28,0.81,77028
Aron Ledet Park (PB2),6323,Antoine Dr.,1,A,91,13.44,77091
Autry Park,911,Shepherd/Allen Parkway,14,C,19,2.84,77019
Avenue Place Park,4211,Cettipark Street,17,H,9,1.05,77009
Avondale Promenade,424,Westheimer,14,C,6,0.24,77006
Baker Preserve,,John Ralston @ Pia Drive,ETJ,ETJ,44,72.52,77044
Baldwin Park,1701,Elgin,14,D,4,4.88,77004
Banyan-Camway Triangle,7200,Camway/6900 Banyan,4,B,28,0.78,77028
Beech-White Park,7551,Scott,15,D,21,15.72,77021
Bell Park,4800,Montrose,13,C,5,1.15,77005
Bendwood Park,12700,Kimberly,9,G,24,13.54,77024
Bennett (Mills) Park,5511,Ennis St,15,D,4,1,77004
Bethel Church Historical Site,801,Andrews,14,C,19,0.47,77019
Beverly Hills Park,10201,Kingspoint,7,D,75,21.67,77075
Blackhawk Park,9401,Fuqua,7,D,75,76.81,77075
Blueridge Park,5600,Court Rd,8,K,53,45.15,77053
Bollintom Greenspace,7555,Elm Street,11,I,12,0.39,77012
Bonham Park,8401,Brae Acres Road,8,J,74,8.57,77074
Boone Road Park,7700,Boone Rd.,18,F,72,27.38,77072
Bordersville Park,19622,Carver Ave,20,B,338,0.85,77338
Braeburn Glen Park/ Lee LeClear Tennis Ct,9510,S Gessner,8,J,74,12.9,77074
Braeswood Park,2345,Maroneal/Kelving,13,C,30,1.96,77030
Brays Greenway Park,8001,Hockley,11,I,12,0.57,77012
Brentwood Park,13220,Landmark,8,K,45,7.9,77045
Brewster Park,1800,Des Chaumes St,17,B,26,6.09,77026
Briarbend Park,7926,Woodway,9,G,63,1.27,77063
Briarmeadow Park,7703,Richmond,9,F,63,4.61,77063
Bricker Park,4548,Bricker,7,D,51,2.17,77051
Broadmoor-Kretschmar Park,1500,Elliott,11,I,23,0.6,77023
Brock Park & Golf Course,8201,John Ralston,4,B,78,354.85,77078
"Brock, Richard Park (formerly Jones, Rand a",1709,Bingham,14,H,7,0.45,77007
Brookline Park,3300,Real,15,I,87,10.56,77087
Brown (Herman) Park,400,Mercury Dr,4,I,13,901.65,77013
Buffalo Bayou/Tinsley Park /Jamail (Lee an,18-3600,Allen Pkwy/Memorial Dr,14,CH,2,156.52,77002
Burnett St. Park,1500,Burnett,17,H,9,0.4,77009
Burnett-Bayland Park,6000,Chimney Rock,8,J,81,31.98,77081
Busby Park,6700,Hirsch,4,B,26,5.83,77026
Butterfly Pocket Park (Formerly Fulton Gre,2604,Fulton Street,17,H,9,0.26,77009
Calloway (Yvette) Park/Southland,6502,Allegheny,15,D,21,1.1,77021
Cambridge Village Park,13101,Nitida,8,K,45,81.78,77045
Camp Logan Triangle,6401,Coppage/Rodrigo,14,C,7,0.98,77007
Campbell Woods Park,2315,Crestdale,10,A,80,0.93,77080
Candlelight Park,1520,Candlelight,1,C,18,9.53,77018
Canterbury Village Park,12822,Northumb,8,D,47,4.4,77047
Carter Park,7000,Santa Fe,7,I,61,2,77061
Castillo Park,1200,Quitman,17,H,9,1.84,77009
Cedar Hill Park,4510,Cedar Hill Lane,ETJ,ETJ,93,0.28,77093
Charlton Park,8200,Park Place,6,I,17,8.7,77017
Cherry (The Lorraine) Nature Preserve,2600,West 11th Street,12,C,8,20.21,77008
Cherryhurst Park,1700,Missouri,14,C,6,1.9,77006
Chew (Ervan) Park,4502,Dunlavy,14,C,98,3.4,77098
Chimney Rock Park,11655,Chimney Rock,8,K,35,1.59,77035
City Hall Annex Plaza,900,Bagby,16,I,2,0.26,77002
City Hall Plaza,901,Bagby,16,I,2,0.24,77002
Clark Park,9718,Clark,2,H,76,12.74,77076
Cleveland Park,200,Jackson Hill,14,C,7,10.2,77007
Clinton Park,200,Mississippi,5,I,29,35.2,77029
Cloverland Park,11800,Scott,7,D,47,12.04,77047
Club Creek Park,9680 1/2,Club Creek Drive,9,J,36,1.87,77036
Cole Creek Park,7200,Drowsy Pine,1,A,92,6.97,77092
Confederate Ship Area,801,Commerce,16,H,2,0.75,77002
Cooper Road Park,200,Cooper Rd,2,H,76,3.64,77076
Cottage Grove Park,2100,Arabelle,12,C,7,5.15,77007
Crain (E.L) Park (% Lease),9051,Triola,9,J,36,6.04,77036
Cravens Parkway,5901,Main St,13,D,30,11.49,77030
Crestmont Park,5200,Selinsky Rd,7,D,48,6.74,77048
Crockett Street Greenspace,1900,Crockett St,14,H,7,0.12,77007
Crooker/Moody Park,400,Westmont/West Canal,4,E,15,11,77015
Croyden Gardens Park,8400,Millicent,2,H,93,2.7,77093
Cullen Park (Lease),19008,Saums/18203 Groeschke,19,A,84,9269.82,77084
Cullen Sculpture Garden,1000,Bissonnet,13,C,5,1,77005
Cullinan (M.C.) Park (PB2),5120,Polk,11,I,23,0.75,77023
Cullinan JS and LH,6700,Long Dr,7,I,87,44,77087
Cullinan/Oyster Creek (PB 3) %,12414 ½,Highway 6 S,ETJ,ETJ,498,754.83,77498
Curry Road Park,7201,Curry,2,H,93,6,77093
Darien Park,7100,Darien,4,B,28,1,77028
De Zavala Park,907,76th St,11,I,12,2.6,77012
Delce (Catherine) Park,5902,Collingsworth,17,B,26,2.67,77026
Delmonte Park,3750,Delmonte,14,G,19,1.1,77019
Diez Street Park,1202,Diez Street,11,I,23,9.37,77023
Dodson Lake Park,9010,Dodson,4,H,93,24.45,77093
Dow Elementary Park,1919,Kane,14,H,7,0.25,77007
Dow Park,7942,Rockhill,7,I,61,14.04,77061
Dylan Duncan Memorial Skate Park (forme,3950,Rustic Woods,3,E,339,1.02,77339
East Tidwell Park,9300,Tidwell Road,4,B,78,14.34,77078
Eastwood Park,5020,Harrisburg,11,H,11,10.8,77011
Edgewood Park,5803,Belfort,7,D,33,10.97,77033
Edmonds Park,6400,Hamblen,4,B,396,2.9,77396
Elbert Park,7400,Banyan,4,B,28,1,77028
Ella Lee Park,2030,Larchmont,14,G,19,0.3,77019
Elliott (Mary) Park,3000,Chevy Chase,14,G,19,1.4,77019
Elm Street Park,7600,E Elm Street,11,I,23,2.84,77023
Emancipation Park,3018,Emancipation,15,D,4,11.74,77004
Energy Corridor Trailhead Park,560,N Eldridge Parkway,18,G,79,0.79,77079
Evella Park,5210,Evella,17,B,26,0.46,77026
Fannin-Greenbriar Triangle,7898,Fannin St.,13,K,54,1,77054
Farnsworth Park,3540,Main Road,3,E,365,22,77365
Finnigan Park,4900,Providence,11,B,20,19.07,77020
Fleming Park,1901,Sunset Blvd,13,C,5,2.5,77005
Fonde Community Center,110,Sabine Street,14,H,7,1.52,77007
Fonde Park,2511,Carrolton St,15,I,23,12.7,77023
Forest West Park,5915,Golden Forest Dr,1,C,92,6.16,77092
Forum Park,9900,Sugar Branch,9,J,36,6.63,77036
