"","Name","Address","ZIP","Type"
"1","African American History Research Center at the Gregory School","1300 Victor St. Houston, TX 77019","77019","Library"
"2","Alief-David M. Henington Regional Library","11903 Bellaire Blvd, Houston, TX 77072","77072","Library"
"3","Barbara Bush Literacy Plaza at the Houston Public Library","500 McKinney St. Houston, TX 77002","77002","Library"
"4","BOOKLINK at One Allen Center","500 Dallas St. Houston, TX 77002","77002","Library"
"5","Bracewell Neighborhood Library","9002 Kingspoint Rd. Houston, TX 77075","77075","Library"
"6","Carnegie Neighborhood Library & Center for Learning","1050 Quitman St. Houston, TX 77009","77009","Library"
"7","Central Library Jesse H. Jones Building","500 McKinney St. Houston, TX 77002","77002","Library"
"8","Collier Regional Library","6200 Pinemont Dr. Houston, TX 77092","77092","Library"
"9","Family History Research Center at the Clayton Library Campus","5300 Caroline St. Houston, TX 77004","77004","Library"
"10","Flores Neighborhood Library","110 North Milby St. Houston, TX 77003","77003","Library"
"11","Freed-Montrose Neighborhood Library","4100 Montrose Blvd. Houston, TX 77006","77006","Library"
"12","Heights Neighborhood Library","1302 Heights Blvd. Houston, TX 77008","77008","Library"
"13","Hillendahl Neighborhood Library","2436 Gessner Rd. Houston, TX 77080","77080","Library"
"14","Houston History Research Center at the Julia Ideson Building","550 McKinney St. Houston, TX 77002","77002","Library"
"15","HPL Southwest Express","6400 High Star Dr. Houston, TX 77074","77074","Library"
"16","Johnson Neighborhood Library","3517 Reed Rd. Houston, TX 77051","77051","Library"
"17","Jungman Neighborhood Library","5830 Westheimer Rd. Houston, TX 77057","77057","Library"
"18","Kendall Neighborhood Library","609 N Eldridge Pkwy. Houston, TX 77079","77079","Library"
"19","Looscan Neighborhood Library","2510 Willowick Rd. Houston, TX 77027","77027","Library"
"20","Mancuso Neighborhood Library","6767 Bellfort Ave. Houston, TX 77087","77087","Library"
"21","McCrane-Kashmere Gardens Neighborhood Library","5411 Pardee St. Houston, TX 77026","77026","Library"
"22","McGovern-Stella Link Regional Library","7405 Stella Link Rd. Houston, TX 77025","77025","Library"
"23","Melcher Neighborhood Library","7200 Keller St. Houston, TX 77012","77012","Library"
"24","Moody Neighborhood Library","9525 Irvington Blvd. Houston, TX 77022","77022","Library"
"25","Oak Forest Neighborhood Library","1349 West 43rd St. Houston, TX 77018","77018","Library"
"26","Parent Resource Library Children's Museum of Houston","1500 Binz St. Houston, TX 77004","77004","Library"
"27","Park Place Regional Library","8145 Park Place Blvd. Houston, TX 77017","77017","Library"
"28","Pleasantville Neighborhood Library","1520 Gellhorn Dr. Houston, TX 77029","77029","Library"
"29","Ring Neighborhood Library","8835 Long Point Rd. Houston, TX 77055","77055","Library"
