zcta,ZIP_CODE,pop_2020
ZCTA5 73949,73949,1162
ZCTA5 73960,73960,35
ZCTA5 75001,75001,16528
ZCTA5 75002,75002,69939
ZCTA5 75006,75006,47811
ZCTA5 75007,75007,53960
ZCTA5 75009,75009,21276
ZCTA5 75010,75010,33186
ZCTA5 75013,75013,48360
ZCTA5 75019,75019,44897
ZCTA5 75020,75020,23782
ZCTA5 75021,75021,8288
ZCTA5 75022,75022,26781
ZCTA5 75023,75023,46777
ZCTA5 75024,75024,45469
ZCTA5 75025,75025,53161
ZCTA5 75028,75028,46830
ZCTA5 75032,75032,34590
ZCTA5 75033,75033,45347
ZCTA5 75034,75034,47734
ZCTA5 75035,75035,82596
ZCTA5 75036,75036,35148
ZCTA5 75038,75038,32928
ZCTA5 75039,75039,24569
ZCTA5 75040,75040,64035
ZCTA5 75041,75041,32219
ZCTA5 75042,75042,39148
ZCTA5 75043,75043,63973
ZCTA5 75044,75044,46094
ZCTA5 75048,75048,27818
ZCTA5 75050,75050,43531
ZCTA5 75051,75051,40243
ZCTA5 75052,75052,96225
ZCTA5 75054,75054,15646
ZCTA5 75056,75056,67570
ZCTA5 75057,75057,16001
ZCTA5 75058,75058,3799
ZCTA5 75060,75060,47955
ZCTA5 75061,75061,55828
ZCTA5 75062,75062,50466
ZCTA5 75063,75063,46598
ZCTA5 75065,75065,12770
ZCTA5 75067,75067,68734
ZCTA5 75068,75068,66248
ZCTA5 75069,75069,39084
ZCTA5 75070,75070,57712
ZCTA5 75071,75071,64449
ZCTA5 75072,75072,55538
ZCTA5 75074,75074,53003
ZCTA5 75075,75075,36600
ZCTA5 75076,75076,8057
ZCTA5 75077,75077,38073
ZCTA5 75078,75078,38980
ZCTA5 75080,75080,53633
ZCTA5 75081,75081,37766
ZCTA5 75082,75082,28063
ZCTA5 75087,75087,40460
ZCTA5 75088,75088,26899
ZCTA5 75089,75089,34608
ZCTA5 75090,75090,25002
ZCTA5 75092,75092,27186
ZCTA5 75093,75093,48081
ZCTA5 75094,75094,23864
ZCTA5 75098,75098,67212
ZCTA5 75101,75101,633
ZCTA5 75102,75102,1501
ZCTA5 75103,75103,15162
ZCTA5 75104,75104,49749
ZCTA5 75105,75105,307
ZCTA5 75109,75109,4766
ZCTA5 75110,75110,30336
ZCTA5 75114,75114,6347
ZCTA5 75115,75115,56164
ZCTA5 75116,75116,20656
ZCTA5 75117,75117,4170
ZCTA5 75119,75119,28973
ZCTA5 75124,75124,5093
ZCTA5 75125,75125,7545
ZCTA5 75126,75126,64573
ZCTA5 75127,75127,1644
ZCTA5 75132,75132,135
ZCTA5 75134,75134,20194
ZCTA5 75135,75135,8065
ZCTA5 75137,75137,20023
ZCTA5 75140,75140,7538
ZCTA5 75141,75141,5173
ZCTA5 75142,75142,21952
ZCTA5 75143,75143,15349
ZCTA5 75144,75144,3462
ZCTA5 75146,75146,23837
ZCTA5 75147,75147,7781
ZCTA5 75148,75148,5796
ZCTA5 75149,75149,60317
ZCTA5 75150,75150,64654
ZCTA5 75152,75152,5820
ZCTA5 75153,75153,536
ZCTA5 75154,75154,45894
ZCTA5 75155,75155,3485
ZCTA5 75156,75156,15708
ZCTA5 75157,75157,258
ZCTA5 75158,75158,5214
ZCTA5 75159,75159,22127
ZCTA5 75160,75160,26632
ZCTA5 75161,75161,7552
ZCTA5 75163,75163,2317
ZCTA5 75164,75164,335
ZCTA5 75165,75165,49805
ZCTA5 75166,75166,5457
ZCTA5 75167,75167,12455
ZCTA5 75169,75169,17017
ZCTA5 75172,75172,5519
ZCTA5 75173,75173,7733
ZCTA5 75180,75180,26860
ZCTA5 75181,75181,27027
ZCTA5 75182,75182,7806
ZCTA5 75189,75189,37777
ZCTA5 75201,75201,17740
ZCTA5 75202,75202,2529
ZCTA5 75203,75203,14710
ZCTA5 75204,75204,34012
ZCTA5 75205,75205,26299
ZCTA5 75206,75206,40386
ZCTA5 75207,75207,7116
ZCTA5 75208,75208,29446
ZCTA5 75209,75209,14740
ZCTA5 75210,75210,8736
ZCTA5 75211,75211,70695
ZCTA5 75212,75212,27329
ZCTA5 75214,75214,35664
ZCTA5 75215,75215,18806
ZCTA5 75216,75216,55759
ZCTA5 75217,75217,85330
ZCTA5 75218,75218,23136
ZCTA5 75219,75219,27885
ZCTA5 75220,75220,39627
ZCTA5 75223,75223,13898
ZCTA5 75224,75224,33766
ZCTA5 75225,75225,22635
ZCTA5 75226,75226,4535
ZCTA5 75227,75227,59103
ZCTA5 75228,75228,68219
ZCTA5 75229,75229,33168
ZCTA5 75230,75230,27810
ZCTA5 75231,75231,40754
ZCTA5 75232,75232,30061
ZCTA5 75233,75233,15104
ZCTA5 75234,75234,33216
ZCTA5 75235,75235,19153
ZCTA5 75236,75236,18385
ZCTA5 75237,75237,19057
ZCTA5 75238,75238,32801
ZCTA5 75240,75240,25839
ZCTA5 75241,75241,32944
ZCTA5 75243,75243,62273
ZCTA5 75244,75244,12576
ZCTA5 75246,75246,2458
ZCTA5 75247,75247,830
ZCTA5 75248,75248,38210
ZCTA5 75249,75249,15291
ZCTA5 75251,75251,3840
ZCTA5 75252,75252,27458
ZCTA5 75253,75253,25867
ZCTA5 75254,75254,24664
ZCTA5 75261,75261,1
ZCTA5 75270,75270,0
ZCTA5 75287,75287,53181
ZCTA5 75390,75390,0
ZCTA5 75401,75401,19550
ZCTA5 75402,75402,18983
ZCTA5 75407,75407,25738
ZCTA5 75409,75409,21292
ZCTA5 75410,75410,5073
ZCTA5 75411,75411,1279
ZCTA5 75412,75412,604
ZCTA5 75413,75413,179
ZCTA5 75414,75414,3507
ZCTA5 75415,75415,212
ZCTA5 75416,75416,2848
ZCTA5 75417,75417,2361
ZCTA5 75418,75418,14775
ZCTA5 75420,75420,1206
