GEOID_ZCTA5_20,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20
00601,166847909,799292
00601,166847909,799292
00602,78546713,4428428
00602,78546713,4428428
00603,88957333,6276536
00603,88957333,6276536
00606,114825382,12487
00606,114825382,12487
00606,114825382,12487
00610,96129350,4310530
00610,96129350,4310530
00610,96129350,4310530
00610,96129350,4310530
00611,27570859,3631
00612,197202754,15258391
00612,197202754,15258391
00612,197202754,15258391
00616,28189755,143499
00617,47538645,1692937
00617,47538645,1692937
00622,80724808,19583150
00623,101522968,14192149
00624,121623976,15387375
00624,121623976,15387375
00627,120095653,3506587
00627,120095653,3506587
00631,8095945,709369
00631,8095945,709369
00636,949819,0
00637,91091117,26242
00637,91091117,26242
00637,91091117,26242
00638,184928682,478957
00638,184928682,478957
00638,184928682,478957
00641,217850443,3453794
00641,217850443,3453794
00646,54524894,3254763
00646,54524894,3254763
00647,40949566,7963090
00647,40949566,7963090
00650,82140025,564374
00650,82140025,564374
00650,82140025,564374
00650,82140025,564374
00650,82140025,564374
00650,82140025,564374
00652,16685216,58059
00653,57201263,5275491
00653,57201263,5275491
00656,109153712,10485397
00656,109153712,10485397
00659,106336153,3046729
00660,29314496,481
00662,106890325,5321071
00664,121495188,3318
00664,121495188,3318
00667,155914156,28249387
00667,155914156,28249387
00669,166051225,88978
00669,166051225,88978
00669,166051225,88978
00669,166051225,88978
00670,120455394,375649
00670,120455394,375649
00670,120455394,375649
00670,120455394,375649
00674,112542703,6882620
00674,112542703,6882620
00676,126528240,56474
00676,126528240,56474
00676,126528240,56474
00677,37733225,3594732
00677,37733225,3594732
00677,37733225,3594732
00678,75473614,4721793
00678,75473614,4721793
00678,75473614,4721793
00680,166550170,19822248
00680,166550170,19822248
00680,166550170,19822248
00682,42242059,8060474
00682,42242059,8060474
00683,127657838,29360
00685,203807490,1133210
00685,203807490,1133210
00685,203807490,1133210
00687,100676194,139537
00688,84182898,72551
00690,5856225,8603
00692,68708823,1997184
00692,68708823,1997184
00693,115018380,5339893
00693,115018380,5339893
00693,115018380,5339893
00694,2069783,1957115
00698,162299760,1631308
00698,162299760,1631308
00703,80346808,28383
00703,80346808,28383
00703,80346808,28383
00704,23300028,2021101
00704,23300028,2021101
00705,78746040,72302
00705,78746040,72302
00707,54196286,3816672
00714,38857653,2810000
00715,32913553,10996927
00715,32913553,10996927
00716,22449489,14362646
00717,6145510,160726
00718,122275140,4621160
00718,122275140,4621160
00719,73062132,1077829
00719,73062132,1077829
00719,73062132,1077829
00719,73062132,1077829
00720,145399456,286519
00720,145399456,286519
00723,119150138,17458470
00723,119150138,17458470
00723,119150138,17458470
00725,107130188,1949929
00725,107130188,1949929
00725,107130188,1949929
00725,107130188,1949929
00725,107130188,1949929
00725,107130188,1949929
00727,58439043,30356
00728,39878650,21619111
00729,92600431,487976
00729,92600431,487976
00730,17191037,147581
