Name,Description,all_houston_zips,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20,pop_2020,aland_acre,awater_acre,total_area,total_area_acre
<at><openparen>77002<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77002</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77002</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77002</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77002</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>5101447</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>114561</td> </tr></table></center>",77002,5101447,114561,"19844",1260.55028416111,28.3076352853966,5216008,1288.8579194465
<at><openparen>77003<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77003</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77003</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77003</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77003</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>7080393</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>86240</td> </tr></table></center>",77003,7080393,86240,"11874",1749.54114158636,21.3096120583148,7166633,1770.85075364468
<at><openparen>77004<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77004</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77004</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77004</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77004</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>13574107</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>63296</td> </tr></table></center>",77004,13574107,63296,"37005",3354.11588831233,15.6402273288856,13637403,3369.75611564122
<at><openparen>77005<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77005</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77005</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77005</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77005</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>9914812</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>720</td> </tr></table></center>",77005,9914812,720,"28241",2449.91648134421,0.177909562638992,9915532,2450.09439090684
<at><openparen>77006<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77006</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77006</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77006</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77006</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>5932367</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>0</td> </tr></table></center>",77006,5932367,0,"24129",1465.86780331109,0,5932367,1465.86780331109
<at><openparen>77007<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77007</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77007</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77007</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77007</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>19443074</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>221212</td> </tr></table></center>",77007,19443074,221212,"42908",4804.3177662466,54.660736347912,19664286,4858.97850259451
<at><openparen>77008<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77008</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77008</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77008</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77008</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>16784687</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>70549</td> </tr></table></center>",77008,16784687,70549,"36631",4147.43933778107,17.4324190758587,16855236,4164.87175685693
<at><openparen>77009<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77009</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77009</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77009</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77009</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>16046120</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>21754</td> </tr></table></center>",77009,16046120,21754,"36425",3964.94193229553,5.37533975784532,16067874,3970.31727205337
<at><openparen>77010<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77010</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77010</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77010</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77010</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>309333</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>0</td> </tr></table></center>",77010,309333,0,"883",76.4351371386212,0,309333,76.4351371386212
<at><openparen>77011<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77011</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77011</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77011</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77011</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>8832833</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>400260</td> </tr></table></center>",77011,8832833,400260,"16841",2182.56313318508,98.9028910303929,9233093,2281.46602421547
