zip_code,vc_pc_2023,theft_pc_2023.x,complaints_2023_pc,asthma_2021,obesity_2021,poor_mental_health_14_days_2021,sedentary_2021.x,violent_crime_score,illegal_dumping_score,asthma_score,obesity_score,mental_health_score,health_score,safety_score,composite_score,p_80,priority
77002,8390.445474702681,10244.910300342674,65.51098568836927,8.3,34.5,15.9,19.7,100,11.334719284786377,8.080808080808088,37.33905579399141,37.795275590551185,28.721258408832334,55.66735964239319,42.19430902561276,N,1
77003,5103.587670540677,11209.364999157824,892.7067542529898,9.7,39.1,17.5,28.6,67.20373303907374,100,36.363636363636346,57.08154506437768,50.39370078740157,48.52542695721364,83.60186651953687,66.06364673837525,Y,2
77004,4307.526009998649,5337.116605864072,926.9017700310769,10.9,36.8,19,24.8,56.72124135454458,100,60.606060606060616,47.21030042918453,62.204724409448815,56.47707687533985,78.3606206772723,67.41884877630608,Y,2
77005,407.20937643851136,1745.688892036401,28.32760879572253,8,26.6,12,13.8,5.362108381745941,4.901246567043571,2.0202020202020132,3.433476394849788,7.086614173228348,4.288092304887952,5.131677474394756,4.709884889641354,N,0
77006,3319.656844461022,6461.10489452526,298.39612085042893,8.3,29,13.7,14,43.71304007262362,51.62853573288977,8.080808080808088,13.733905579399138,20.472440944881882,14.396463707740782,47.6707879027567,31.03362580524874,N,2
77007,1920.387806469656,6970.728069357696,305.3043721450545,8,28.3,13,13.4,25.287550211478347,52.82380227254809,2.0202020202020132,10.729613733905579,14.960629921259844,9.5976458853685,39.05567624201322,24.32666106369086,N,1
77008,1430.4823783134505,5776.528077311566,221.12418443394938,8.3,30.4,13.2,16.3,18.83650523418792,38.2589352197936,8.080808080808088,19.742489270386255,16.535433070866137,15.121515243680761,28.547720226990762,21.834617735335762,N,0
77009,2992.4502402196294,3547.0144131777624,807.1379547014413,9.3,37.9,16.4,30,39.404403344976146,100,28.28282828282829,51.93133047210299,41.73228346456692,41.267113362682956,69.70220167248807,55.48465751758552,Y,1
77010,12457.53114382786,15062.28765571914,0,9,32.5,15,17.8,100,0,22.22222222222222,28.755364806866947,30.708661417322837,27.47907584513309,50,38.73953792256654,N,1
77011,3740.8704946262096,2297.9633038418146,540.3479603348969,10.1,43.5,19.4,42.1,49.25955588178894,93.49107454492645,44.44444444444444,75.9656652360515,65.35433070866141,62.79533191398285,71.3753152133577,67.08532356367027,Y,2
77012,3196.173289123227,1782.8993857694188,347.8828069793988,9.9,41.8,19.4,40.2,42.087016102164874,60.190728618743265,40.40404040404041,68.66952789699569,65.35433070866141,59.0295626331921,51.13887236045407,55.084217496823086,Y,1
77013,3889.3844781445137,5203.68718406185,350.87719298245617,10.6,42.7,20,38.1,51.215179013051056,60.70881767538487,54.54545454545454,72.53218884120173,70.07874015748031,66.27746151317507,55.96199834421796,61.119729928696515,Y,3
77014,221.8366940644464,162.11143027786468,0,10.8,40.3,19.1,30.1,2.921132138521359,0,58.5858585858586,62.231759656652336,62.992125984251985,61.40411755007409,1.4605660692606794,31.432341809667385,N,0
77015,777.5014884600567,1124.2251252057576,66.54292018351838,10.4,40.7,19.4,34,10.238092463770025,11.513264725675377,50.50505050505051,63.94849785407726,65.35433070866141,60.40750514847369,10.8756785947227,35.641591871598195,N,0
77016,5099.112327304279,2953.347126743643,971.1005806580791,12.2,47.6,19.6,39.9,67.14480199065594,100,86.86868686868686,93.56223175965665,66.92913385826773,82.232584026879593,83.57240099532797,82.90249251110379,Y,3
77017,3272.3712056603176,3073.3756593701632,287.4380113080009,9.6,39,18.2,35.1,43.09038564760266,49.73256219119702,34.34343434343434,56.652360515021456,55.905511811023615,49.69828561714607,46.41147391939984,48.054879768272954,N,0
77018,2113.383566559024,3179.0455687118765,416.21815572299965,9.2,34.9,15,23.5,27.828906679906556,72.01411956757171,26.26262626262624,39.0557939914163,30.708661417322837,32.29634727184657,49.92151312373913,41.10893019779285,N,1
77019,1802.2870401060657,6745.111037454425,174.0139211136891,8.5,29.1,13.1,14.6,23.73240647989865,30.107911318128803,12.121212121212116,14.163090128755368,15.74803149606299,14.10525620505006,26.920158899013728,20.512707552031895,N,0
77020,4008.6935522820577,2620.1400627867665,998.1485953473397,11,45.2,20.3,41.5,52.78623366814414,100,62.62626262626262,83.2618025751073,72.44094488188976,73.28384039782776,76.39311683407207,74.83847861594992,Y,3
77021,6751.024772767778,4747.816788451257,780.609517020139,11.6,43.8,18.3,32.8,88.89708492480833,100,74.74747474747474,77.25321888412014,56.69291338582678,69.30538871872383,94.44854246240416,81.876965590564,Y,2
77022,4744.67789063587,5360.372895505774,664.3940448031167,11.1,45,20.7,42.5,62.47763081630541,100,64.64646464646465,82.40343347639485,75.59055118110236,74.69183402406341,81.2388154081527,77.96532471610806,Y,3
77023,3009.7087378640776,3345.7804331590737,339.80582524271847,9.7,41.1,18.6,36.5,39.631662195656396,58.79324818562758,36.363636363636346,65.66523605150215,59.055118110236236,54.561214865699334,49.21245519064199,51.886835028170665,N,1
77024,816.3781119676481,3371.6668772905346,10.109945659042083,8.1,27.6,11.1,16,10.750017485210476,1.749224116010078,4.0404040404040265,7.72532188841202,0,3.915983873065415,6.249620800610277,5.082802336837846,N,0
77025,1953.7004559803577,3272.5359522974395,101.71869519466854,8.5,29,13.5,18.3,25.72620916064542,17.59938190414086,12.121212121212116,13.733905579399138,18.897637795275593,15.05740381749979,21.66279553239314,18.360099674946465,N,0
77026,6720.786156804102,2969.450972014527,1803.033539841914,12,47.5,20.5,42.2,88.49890466302422,100,82.82828282828282,93.13304721030043,74.01574803149606,83.35056318311361,94.24945233151212,88.80000775731287,Y,3
77027,2280.507715805551,6994.259229999473,73.73466055722336,8.3,27.6,12.9,14.2,30.02958734523077,12.757580582755864,8.080808080808088,7.72532188841202,14.173228346456696,10.088735006446477,21.393583963993315,15.741159485219896,N,0
77028,5095.984171969413,3625.4745735522165,1491.8988289396289,12.4,48.4,20.5,40.9,67.10361063085183,100,90.90909090909092,96.99570815450643,74.01574803149606,87.12673693782814,83.55180531542592,85.33927112662704,Y,3
77029,1848.1577094578738,2018.3055620746304,539.7793945083314,10.9,43.6,19.3,39.8,24.33642867299952,93.39270121148739,60.606060606060616,76.39484978540773,64.56692913385827,67.51844080356128,58.864564942243454,63.19150287290236,Y,1
77030,3138.945616821723,5370.244308297406,22.69117313365101,8,25.8,12.6,14.2,41.33344558274428,3.92602973394252,2.0202020202020132,0,11.811023622047243,4.739918873777138,22.6297376583434,13.68482826606027,N,0
77031,4158.693710932517,3119.0202831993874,153.08075009567546,10.2,39.2,17.8,30.2,54.76142666344665,26.486051339433118,46.46464646464645,57.510729613733915,52.75590551181103,52.53271623333466,40.62373900143989,46.57822761738727,N,1
77032,2593.1688523375565,14173.520041490701,66.6814847743943,11.6,43,21.5,35.4,34.14669023590459,11.537239189254068,74.74747474747474,73.81974248927038,81.88976377952756,76.92256961832169,22.84196471257933,49.88226716545051,N,1
77033,5474.285311431492,2375.8327752123796,912.9683809792378,12.5,48,20.3,40.2,72.08505710066306,100,92.92929292929293,95.27896995708154,72.44094488188976,86.58075807242784,86.04252855033153,86.31164331137968,Y,3
77034,2702.561148064736,3168.700570889855,227.83218980778295,10,39.3,19.2,32.7,35.587161354097795,39.419555184129464,42.42424242424242,57.93991416309011,63.77952755905511,55.32907733002355,37.50335826911363,46.41621779956859,N,0
77035,3263.222599353235,2624.47550578614,293.98401795975093,10.5,39.4,18.2,30.4,42.96991735438812,50.86515311551742,52.52525252525252,58.36909871244634,55.905511811023615,55.75368944079024,46.91753523495277,51.33561233787151,N,0
77036,3507.3151443258203,4001.5816528272044,27.6789244760775,10.2,40,20.4,38.9,46.1841131883999,4.789011121486468,46.46464646464645,60.94420600858369,73.2283464566929,60.89978730224074,25.486562154943183,43.19317472859196,N,2
77037,2243.344064591957,2866.779089376054,163.52394092697634,10.6,42.5,21.3,41.8,29.540218639108193,28.2929335785942,54.54545454545454,71.67381974248927,80.31496062992126,69.55970949398005,28.916576108851196,49.23814280141562,N,1
77038,344.4542859954729,538.0047895548338,19.683102056884167,10.7,42.3,20.8,38.1,4.5357531553390835,3.405572884063515,56.56565656565655,70.8154506437768,76.37795275590551,68.48738815958578,3.9706630197012993,36.22902558964354,N,1
77039,20.876826722338205,24.356297842727905,3.4794711203897006,11,43.8,21.6,41.8,0.27490478861557066,0.6020185468853405,62.62626262626262,77.25321888412014,82.67716535433073,74.76351327133658,0.4384616677504556,37.60098746954352,N,1
77040,1524.5133672562797,2774.41240610613,20.1922300298845,9.6,36.3,17.2,27.3,20.074699595928852,3.493662272329514,34.34343434343434,45.06437768240341,48.03149606299212,42.88658611391874,11.784180934129182,27.33538352402396,N,0
77041,711.9417097725124,1134.6570999499415,58.401468379776404,8.7,32.7,14.8,23.7,9.374805272594621,10.10462967315141,16.16161616161614,29.61373390557941,29.13385826771654,25.410142109138423,9.739717472873014,17.57492979100572,N,0
77042,3113.388542147315,3528.668917113923,33.99956286276319,9.9,35.9,17.1,24,40.996911572837355,5.882608799203089,40.40404040404041,43.34763948497853,47.24409448818899,43.82831901182075,23.439760186020223,33.63403959892049,N,0
77043,1883.4899737452913,2907.043110992732,53.27042349986682,9,33.9,15.5,25.5,24.801681787106613,9.216855619070262,22.22222222222222,34.76394849785407,34.645669291338585,30.960032892884094,17.009268703088438,23.984650797986266,N,0
77044,70.06197790353005,127.54872900386239,1.796460971885386,10,38.2,17.6,25.9,0.9225718775042623,0.3108239115689336,42.42424242424242,53.21888412017168,51.18110236220474,49.26726799610447,0.616697894536598,24.941982945320536,N,0
77045,2650.3347628891424,2468.2978001295855,376.4154145197618,10.7,42,17.8,31.7,34.89944748034658,65.1274440953112,56.56565656565655,69.52789699570815,52.75590551181103,59.76902784732868,50.01344578782889,54.891236817578786,Y,1
77046,1262.9161882893227,3272.101033295063,0,8.2,26.6,12.7,13.8,16.630003802703122,0,6.06060606060604,3.433476394849788,12.59842519685039,7.429347375276874,8.315001901351561,7.872174638314218,N,0
77047,1770.1321366242832,1614.3106457242584,445.6494639740713,11,41.9,17.7,28,23.308992660251665,77.10632835827442,62.62626262626262,69.09871244635193,51.96850393700787,61.16140452205471,50.20766050926304,55.68453251565887,Y,1
77048,3608.2976236852355,1957.5379820802493,1231.982859368913,12.1,46.6,19.2,33.9,47.51384435451015,100,84.84848484848484,89.27038626609442,63.77952755905511,79.02201529334779,73.75692217725508,76.38946873530143,Y,2
77049,244.92110962153242,198.5150046406105,18.046818603691865,10.3,39.7,18.8,30.1,3.2251063230771226,3.122462907661978,48.4848484848485,59.65665236051503,60.629921259842526,56.64575531257969,3.1737846153695504,29.909769963974618,N,0
77050,1438.8489208633093,879.2965627498002,179.85611510791367,11.2,44,19.6,37.2,18.946675359260198,31.118728484684688,66.66666666666666,78.11158798283262,66.92913385826773,70.76425264438511,25.032701921972443,47.89847728317878,N,1
77051,6363.5867488948315,3307.318670523386,1609.9983627135293,13.3,49.1,21.5,40.5,83.79532451500127,100,100,100,81.88976377952756,93.66141732283464,91.89766225750063,92.77953979016763,Y,3
77053,2056.013179571664,1588.1383855024712,230.64250411861613,11,42.6,19,34.5,27.07345690215473,39.905796132584115,62.62626262626262,72.1030042918455,62.204724409448815,65.79558383333179,33.48962651736942,49.64260517535061,N,0
77054,3865.842172079119,6482.656947458946,69.6179204717638,9.3,29.4,16.5,18.7,50.905175354041646,12.045301676450292,28.28282828282829,15.450643776824023,42.519685039370074,28.774463570516417,31.47523851524597,30.124851042881193,N,1
77055,2560.44521348735,3313.3797876818035,79.50240845531496,9.3,36.8,17.1,29.2,33.71578734340596,13.755517076052922,28.28282828282829,47.21030042918453,47.24409448818899,41.54388670592922,23.735652209729437,32.63976945782933,N,0
77056,2595.8946713663695,11163.176446195313,33.17437279701431,8.1,27.7,12.2,16,34.182583655622366,5.739834306443188,4.0404040404040265,8.154506437768234,8.661417322834643,7.097694528332214,19.961208981032776,13.529451754682494,N,0
77057,3432.6410039158213,4325.723052966636,45.799079438503284,9,32.9,16.1,22.1,45.20080863462426,7.924162695497807,22.22222222222222,30.472103004291835,39.37007874015749,31.111430277223924,26.562485665061033,28.83695797114248,N,1
77058,1064.7052772348525,869.2521345540582,0,9.4,32.4,16.5,21.9,14.019974542536612,0,30.303030303030308,28.326180257510718,42.519685039370074,33.886961944817365,7.009987271268306,20.448474608042837,N,0
77059,495.4760878931495,263.8948728996122,0,8.2,28.5,11.9,16.5,6.524399086983503,0,6.06060606060604,11.587982832618023,6.299212598425202,8.07870021904694,3.2621995434917515,5.670449881269346,N,0
77060,3175.123516051233,3605.9662350434355,67.90455897159717,11.7,45.3,23.8,42.1,41.809833966501955,11.748855646312219,76.76767676767676,83.6909871244635,99.99999999999999,87.32214852386525,26.77934480640709,57.050746665136174,Y,1
77061,4337.977604923498,5500.470125651766,235.06282588255405,10.4,40.7,19.4,35.6,57.12222611037748,40.67060078047943,50.50505050505051,63.94849785407726,65.35433070866141,60.40750514847369,48.89641344542846,54.65195929695108,Y,1
77062,932.4566646742379,577.8043434947201,11.95457262402869,8.7,30.8,13.9,19.8,12.278532829952125,2.068381713985019,16.16161616161614,21.459227467811157,22.047244094488192,20.07574989528961,7.173457271968572,13.624603583629092,N,0
77063,3566.765888558149,4775.706303201212,80.944174630529,9.5,34.2,16.7,23.6,46.96695698423116,14.0049716476585,32.323232323232325,36.051502145922754,44.09448818897638,37.74806631418439,30.48596431594483,34.11701531506461,N,1
77064,385.5481624277097,976.3074435669423,2.0728395829446757,9.2,34.1,16.4,25.3,5.076874828869609,0.35864297488723096,26.26262626262624,35.622317596566525,41.73228346456692,34.952898250184575,2.71775890187842,18.835328576031497,N,0
77065,8.076674563859573,13.461124273099289,0,9.6,34.2,16.9,24.2,0.10635316100597002,0,34.34343434343434,36.051502145922754,45.66929133858267,38.905308022607194,0.05317658050298501,19.47924230155509,N,0
77066,66.77699387393665,188.71759138286444,0,9.7,36.8,17.2,29.6,0.8793154069557652,0,36.363636363636346,47.21030042918453,48.03149606299212,44.24371968135273,0.4396577034778826,22.341688692415307,N,0
77067,2300.7343439755427,1538.0251504932396,78.79227205395695,11.2,42.5,20.9,34.6,30.295930358727535,13.632649183306034,66.66666666666666,71.67381974248927,77.16535433070865,72.09371092561926,21.964289771016784,47.02900034831802,N,1
77068,8.500510030601836,17.001020061203672,0,9.4,34.4,15,23.5,0.11193420073687381,0,30.303030303030308,36.909871244635184,30.708661417322837,32.7573955225944,0.055967100368436905,16.406681311481417,N,0
77069,98.45069692730193,383.43955645370227,0,9,31.7,13.9,19.9,1.296392808534281,0,22.22222222222222,25.321888412017163,22.047244094488192,23.245863043943537,0.6481964042671405,11.947029724105338,N,0
77070,562.8695011616267,2017.263849800729,5.666471488204295,9.3,33.1,15.9,21.8,7.411831467155959,0.9804136356544596,28.28282828282829,31.330472103004297,37.795275590551185,32.67886017759291,4.196122551405209,18.43749136449906,N,0
77071,2148.5027273739283,1610.4493673234629,189.24635422464655,10.6,40,16.9,29.1,28.291353660407058,32.7434288809128,54.54545454545454,60.94420600858369,45.66929133858267,53.67836043514458,30.517391270659928,42.097875852902256,N,0
77072,2354.6764763377228,3008.6545467469923,167.048746245846,10.3,38.4,19.5,37.5,31.006237087414,28.90279585441098,48.4848484848485,54.07725321888411,66.14173228346456,56.622099471276584,29.954516470912488,43.28830797109454,N,0
77073,17.364502615528206,19.535065442469232,0,10.5,40.7,19.5,29.9,0.22865471771284904,0,52.52525252525252,63.94849785407726,66.14173228346456,61.289156305715395,0.11432735885642452,30.701741832285908,N,0
77074,3308.54001343317,2400.5572277917363,241.29953481429885,10.4,39.6,19.6,35.3,43.566654315610236,41.74967697295989,50.50505050505051,59.227467811158796,66.92913385826773,59.30632573581443,42.65816564428506,50.98224569004975,N,1
77075,2629.074164587246,3514.0071514933243,270.11035937540197,9.9,38.7,18.5,31.5,34.61948921083766,46.734529594728784,40.40404040404041,55.3648068669528,58.26771653543307,51.89259531204717,40.67700940278323,46.2848023574152,N,0
77076,3184.0242356796193,2609.045101857863,132.92528362545983,10.6,42.8,21.2,40.7,41.927038102959635,22.998749902990557,54.54545454545454,72.96137339055792,79.5275590551181,69.73476271962296,32.4628940029751,51.09882836129903,N,1
77077,2216.893412939219,3166.2914749926595,27.731558513588464,9.1,32.3,14.9,20.2,29.19191806172401,4.79811786951877,24.24242424242423,27.896995708154492,29.92125984251969,27.50911671546323,16.99501796562139,22.25206734054231,N,0
77078,4658.364187142376,2463.8168966677886,558.734432850892,12.1,46.1,20.8,37.3,61.34105720149847,96.67230441677745,84.84848484848484,87.1244635193133,76.37795275590551,82.68039115087203,79.00668080913796,80.84353598000499,Y,3
77079,1134.4907153060103,3307.3288649598944,49.44511592132733,8.8,30.4,13.3,18.9,14.938904960293513,8.555000403107469,18.18181818181819,19.742489270386255,17.3228346456693,18.4274088251649,11.746952681700492,15.087180753432696,N,0
77080,2502.86167121599,1899.7094303072995,136.47970414722198,9.7,38.6,18.5,33.7,32.95753074979703,23.613736205072875,36.363636363636346,54.93562231759657,58.26771653543307,50.530259507651266,28.285633477434953,39.40794649254311,N,0
77081,3000.434845629801,2646.3462613629304,39.343176029652334,10.2,41.1,21,36.6,39.50954414494807,6.807161446010996,46.46464646464645,65.66523605150215,77.95275590551181,64.20569112434882,23.158352795479534,43.682021959914174,N,1
77082,1916.7550832275233,1777.6077087645454,33.0475014349573,9.8,35.7,16.9,25.9,25.239714732060932,5.7178830068392505,38.383838383838395,42.4892703862661,45.66929133858267,42.370648118848585,15.478798869450092,28.92472349414934,N,0
77083,92.18713989398479,75.91882108916394,0,9.6,35.2,16.7,30.5,1.2139146692496736,0,34.34343434343434,40.34334763948499,44.09448818897638,39.85627284299178,0.6069573346248368,20.231615088808308,N,0
77084,211.27786682208946,410.7168876584584,20.945650590120938,9.5,35.7,17.1,25.6,2.7820941415262217,3.6240191958887125,32.323232323232325,42.4892703862661,47.24409448818899,41.10364740302898,3.2030566687074673,22.153352035868224,N,0
77085,2569.581107675007,3019.3983694124263,196.79505201012088,10.4,41.2,18.2,32.2,33.83608824420257,34.049505555915886,50.50505050505051,66.09442060085837,55.905511811023615,57.85149149567384,33.94279690005923,45.89714419786654,N,0
77086,71.51127153851392,27.242389157529114,0,10.8,41.7,20.4,36.7,0.9416560882258479,0,58.5858585858586,68.2403433476395,73.2283464566929,67.08979900727392,0.47082804411292395,33.78031352569342,N,1
77087,2949.154498759162,2542.2750620419,216.425232296416,10.5,42.8,19.8,39.2,38.834287646242636,37.44592190833241,52.52525252525252,72.96137339055792,68.50393700787401,65.27043439702692,38.14010477728752,51.70526958715722,N,1
77088,2446.6126656848305,1494.8453608247423,349.779086892489,11.3,43.6,19.5,35.7,32.21684725507635,60.518823216533335,68.6868686868687,76.39484978540773,66.14173228346456,70.4938643301659,46.36783523580485,58.430849782985376,Y,1
77089,972.0321437344281,1270.3091553496859,56.14626100993087,9.3,35,16.4,26.8,12.799660338940857,9.71443339999842,28.28282828282829,39.484978540772524,41.73228346456692,36.91089018671729,11.257046869469638,24.083968528093465,N,0
77090,47.29809625162587,61.487525127113635,0,11.1,40.4,20.2,29,0.6228184639794648,0,64.64646464646465,62.66094420600857,71.65354330708661,66.4040100235227,0.3114092319897324,33.357709627756215,N,1
77091,4189.864382583869,3104.9250535331907,663.8115631691649,11.9,44.9,20,35.9,55.17188017801989,100,80.80808080808082,81.97424892703862,70.07874015748031,77.46097042200587,77.58594008900994,77.52345525550791,Y,3
77092,4125.719852161706,8492.106695699511,200.55582614674955,10.4,41.1,19.6,34.5,54.327228890203145,34.70019518734573,50.50505050505051,65.66523605150215,66.92913385826773,61.559544619934606,44.513712038774436,53.03662832935452,Y,2
77093,2423.747276688453,2065.5270655270656,307.9436902966315,11.2,45,22.1,44.5,31.915757198993443,53.28045744323464,66.66666666666666,82.40343347639485,86.61417322834647,79.15616234665946,42.59810732111404,60.87713483388675,Y,2
77094,1282.5112107623318,1497.7578475336322,62.780269058295964,7.9,27.4,11.3,14.7,16.88802987067331,10.86225033743433,0,6.866952789699561,1.5748031496063075,2.954614578757054,13.87514010405382,8.414877341405436,N,0
77095,2.8087520714546526,0,0,9.1,32.7,15.2,19.8,0.036985476995438124,0,24.24242424242423,29.61373390557941,32.283464566929126,28.936746738105253,0.018492738497719062,14.477619738301486,N,0
77096,2379.02057374674,4198.782961460446,159.37409446537237,9.4,33.3,15.1,23.8,31.32679868622738,27.574926602771885,30.303030303030308,32.18884120171672,31.49606299212598,31.380625558754037,29.450862644499633,30.415744101626835,N,0
77098,2354.1388305656296,7272.380225233824,114.52567283832792,8.3,27.7,13.3,13.4,30.999157400482023,19.815246845754555,8.080808080808088,8.154506437768234,17.3228346456693,11.341311803445564,25.40720212311829,18.374256963281926,N,0
77099,2672.069650344039,2230.7368252121405,162.49072198038075,10.4,39.3,19.1,34.8,35.185651160668286,28.11416590174847,50.50505050505051,57.93991416309011,62.992125984251985,57.47772920308488,31.64990853120838,44.56381886714663,N,0
77336,725.7576775754318,369.5988172837847,67.19978496068812,10,35.3,17.7,23.7,9.556733099026074,11.62691555505993,42.42424242424242,40.77253218884118,51.96850393700787,45.186635371319895,10.591824327043003,27.889229849181447,N,0
77338,284.2486287224357,572.9386422686594,17.76553929515223,10.4,38.9,18.4,27.4,3.742968710354616,3.0737959250267037,50.50505050505051,56.22317596566523,57.480314960629904,54.94773697571845,3.40838231769066,29.178059646704554,N,0
77339,1037.7008078744545,1541.4616027486304,48.75104466524283,9.2,32.6,15.2,19.9,13.66438132715333,8.434912103890296,26.26262626262624,29.18454935622318,32.283464566929126,29.39259275189118,11.049646715521813,20.221119733706495,N,0
77345,583.3149900946511,597.9895810404284,18.343238682221735,8.6,30.1,12.8,15.3,7.681056425911834,3.1737495482949383,14.14141414141413,18.4549356223176,13.385826771653552,15.38669108031414,5.427402987103386,10.407047033708764,N,0
77346,4.2182820343368155,0,1.4060940114456053,9.3,33.8,15.4,18.9,0.05554608209347362,0.24328256917961005,28.28282828282829,34.33476394849784,33.85826771653544,32.35240956761013,0.14941432563654183,16.250911946623336,N,0
77357,NA,NA,3.2960875440851707,10.7,39.2,19.6,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
77365,90.29130827353514,197.2152259658794,14.256522358979232,10,37.1,17.8,25.1,1.1889504734069802,2.466665357242506,42.42424242424242,48.497854077253216,52.75590551181103,48.16608858344521,1.827807915324743,24.996948249384975,N,0
77373,7.884818570324697,12.615709712519514,0,9.8,36.2,17.2,23.3,0.10382681291443265,0,38.383838383838395,44.63519313304722,48.03149606299212,43.94849273376528,0.05191340645721632,22.000203070111247,N,0
77375,NA,NA,0,9.3,33.3,16.2,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
77379,NA,NA,0,8.8,31.4,14.2,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
77388,0,0,0,9,32.6,14.9,19.8,0,0,22.22222222222222,29.18454935622318,29.92125984251969,27.35369988622667,0,13.676849943113336,N,0
77396,510.9895509187985,700.9728454911723,40.944675554390905,9.8,37.2,17.5,24.6,6.7286794275966795,7.084253102576519,38.383838383838395,48.92703862660945,50.39370078740157,46.27741031005537,6.9064662650866,26.591938287570986,N,0
77401,69.69045821476276,180.03368372147048,5.807538184563564,7.9,27.2,11.1,14.2,0.9176797287660724,1.0048210138500893,0,6.008583690987118,0,2.103004291845491,0.9612503713080809,1.532127331576786,N,0
77429,6.3710499490316,1.0618416581719334,0,8.8,31.6,14.3,17.2,0.08389359948194339,0,18.18181818181819,24.892703862660948,25.196850393700796,22.98588944427207,0.041946799740971694,11.51391812200652,N,0
77433,2.8125966830109785,0.9375322276703262,0,9,33.1,15.3,19.2,0.03703610260733104,0,22.22222222222222,31.330472103004297,33.07086614173229,29.20713505232447,0.01851805130366552,14.612826551814068,N,0
77449,7.0213761897331874,4.680917459822125,0,9.4,35.9,16.7,23.8,0.09245705599326923,0,30.303030303030308,43.34763948497853,44.09448818897638,39.69565377679331,0.046228527996634614,19.87094115239497,N,0
77450,0,4.1108842512024335,0,8.7,30.5,13.9,18.4,0,0,16.16161616161614,20.171673819742487,22.047244094488192,19.62510611846558,0,9.81255305923279,N,0
77477,168.9189189189189,112.61261261261261,30.96846846846847,9.2,32.1,15.8,26.3,2.2243140835617963,5.358168451923748,26.26262626262624,27.038626609442066,37.00787401574804,30.295063097604405,3.7912412677427723,17.043152182673587,N,0
77489,915.2642456451136,544.864052392839,83.20584051319216,11.2,41.6,16.8,28.6,12.052144098472422,14.396285373541222,66.66666666666666,67.81115879828326,44.88188976377953,59.44256699672197,13.224214736006822,36.3333908663644,N,0
77493,1.9314713949086415,1.9314713949086415,0,9.2,34.1,15.7,21.4,0.025433498232096875,0,26.26262626262624,35.622317596566525,36.220472440944874,33.023764391916856,0.012716749116048438,16.51824057051645,N,0
77494,0,1.5282107708295127,0,8.3,29.1,13.1,16.7,0,0,8.080808080808088,14.163090128755368,15.74803149606299,12.89313499292885,0,6.446567496464425,N,0
77503,NA,NA,0,9.9,38.4,18.7,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
77504,186.56716417910448,89.39676616915423,3.88681592039801,9.8,37.1,18.4,30.3,2.4567051072175063,0.672497397290294,38.383838383838395,48.497854077253216,57.480314960629904,48.607510678410605,1.5646012522539001,25.086055965332253,N,0
77506,2.9043594435247306,0,0,10.2,41.5,20.4,38.1,0.038244429074629945,0,46.46464646464645,67.38197424892704,73.2283464566929,63.15300618636091,0.019122214537314972,31.586064200449112,N,1
77520,0,2.5915463757223938,0,10.2,38.4,18.5,31.5,0,0,46.46464646464645,54.07725321888411,58.26771653543307,53.26013335340494,0,26.63006667670247,N,0
